source_record_path,batch_id,row_count,median_price_mad,median_surface_m2,median_price_per_m2,p95_price_per_m2,p99_price_per_m2,property_type_distribution,city_distribution,missing_title_raw_percent,missing_price_raw_percent,missing_location_raw_percent,missing_details_raw_percent,missing_url_percent,missing_source_listing_id_percent,p95_to_batch_median_ratio,batch_anomaly_status,batch_anomaly_reason
git:HEAD:data/raw/maisonlux_maroc_complet.csv,git_head_complete,10109,1400000.0,100.0,13750.0,27635.85600000001,39701.04840000003,"{""appartement"": 9005, ""immeuble"": 27, ""magasin"": 1, ""maison"": 1, ""riad"": 7, ""studio"": 64, ""unknown"": 1002, ""villa"": 2}","{""Agadir"": 329, ""Berrechid"": 55, ""Béni Mellal"": 23, ""Casablanca"": 4461, ""El Jadida"": 131, ""Essaouira"": 52, ""Fès"": 314, ""Kénitra"": 231, ""Larache"": 22, ""Marrakech"": 1867, ""Meknès"": 247, ""Mohammedia"": 233, ""Oujda"": 69, ""Rabat"": 388, ""Safi"": 18, ""Salé"": 205, ""Settat"": 16, ""Tanger"": 1091, ""Témara"": 190, ""Tétouan"": 141}",0.0,0.0,0.0,0.0,100.0,100.0,0.8501101248409655,not_flagged,
data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv,recovery_misplaced_notebook,3665,1900000.0,110.0,17078.95,108318.83799999997,140248.22040000002,"{""appartement"": 3127, ""bureau"": 3, ""duplex"": 109, ""immeuble"": 5, ""maison"": 7, ""riad"": 2, ""studio"": 150, ""unknown"": 251, ""villa"": 11}","{""Agadir"": 161, ""Berrechid"": 33, ""Bouskoura"": 99, ""Bouznika"": 21, ""Casablanca"": 2452, ""Chefchaouen"": 1, ""El Jadida"": 55, ""Essaouira"": 24, ""Fnidek"": 3, ""Ifrane"": 3, ""Khouribga"": 10, ""Larache"": 14, ""Marrakech"": 624, ""Tanger"": 165}",100.0,100.0,100.0,100.0,0.0,12.22,3.3320097229775785,suspicious_high_price_per_m2_tail,"The batch p95 price/m² is at least 2.5x the median batch p95; the batch is flagged, not removed wholesale."
data\external\recovery_archive\20260902T224619Z\dangling_v3_tree_87e06eeb\data\raw\maisonlux_scrapy_v3.csv,recovery_dangling_v3,93,1500000.0,100.0,16972.48,32508.559999999994,38248.36039999999,"{""appartement"": 76, ""immeuble"": 1, ""unknown"": 16}","{""Agadir"": 12, ""Casablanca"": 17, ""El Jadida"": 14, ""Marrakech"": 13, ""Rabat"": 26, ""Tanger"": 10, ""Témara"": 1}",0.0,0.0,0.0,100.0,0.0,0.0,1.0,not_flagged,
