listing_id,outlier_decision,outlier_reasons,batch_id,property_type_repaired,city,surface_m2,price_mad,price_per_m2,bedrooms,bathrooms,title_raw,price_raw,url
mubawab.ma:native:8092398,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,145.0,11500000.0,79310.34,2.0,2.0,,,https://www.mubawab.ma/fr/a/8092398/appartement-%C3%A0-vendre-%C3%A0-belv%C3%A9d%C3%A8re-surface-de-145-m%C2%B2-porte-blind%C3%A9e-salon-marocain
mubawab.ma:native:8092802,uncertain,surface_extreme,recovery_misplaced_notebook,unknown,Casablanca,700.0,7500000.0,10714.29,6.0,4.0,,,https://www.mubawab.ma/fr/a/8092802/rooftop-%C3%A0-l-achat-%C3%A0-gauthier-6-belles-chambres-meubl%C3%A9
mubawab.ma:native:8108092,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,40.0,5960000.0,149000.0,1.0,1.0,,,https://www.mubawab.ma/fr/a/8108092/bel-appartement-%C3%A0-vendre-%C3%A0-moulay-youssef-2-pi%C3%A8ces-confortables-avec-ascenseur
mubawab.ma:native:8109288,uncertain,price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Larache,140.0,9790000.0,69928.57,2.0,2.0,,,https://www.mubawab.ma/fr/a/8109288/appartement-en-vente-%C3%A0-larache-surface-totale-140-m%C2%B2-antenne-parabolique-et-porte-blind%C3%A9e
mubawab.ma:native:8110295,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,El Jadida,80.0,10630000.0,132875.0,3.0,2.0,,,https://www.mubawab.ma/fr/a/8110295/vente-appartement-%C3%A0-el-jadida
mubawab.ma:native:8114207,uncertain,surface_extreme,recovery_misplaced_notebook,appartement,Casablanca,631.0,6900000.0,10935.02,4.0,4.0,,,https://www.mubawab.ma/fr/a/8114207/affaire-a-saisir-appartement-%C3%A0-vendre-a-racine-rue-ali-abderazak
mubawab.ma:native:8119411,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Larache,70.0,9490000.0,135571.43,2.0,1.0,,,https://www.mubawab.ma/fr/a/8119411/beautiful-2-bedroom-apartment-for-sale-in-larache
mubawab.ma:native:8120042,probable_error,price_above_p99|price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,unknown,Agadir,89.0,11860000.0,133258.43,2.0,1.0,,,https://www.mubawab.ma/fr/a/8120042/%C3%A0-vendre-1-%C3%A9tage-moiti%C3%A9-terrasse-%C3%A0-anza-taddart
mubawab.ma:native:8122822,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Casablanca,80.0,8760000.0,109500.0,2.0,1.0,,,https://www.mubawab.ma/fr/a/8122822/superbe-appartement-a-hay-adil-enti%C3%A8rement-r%C3%A9nov%C3%A9
mubawab.ma:native:8133994,uncertain,bathrooms_above_8,recovery_misplaced_notebook,appartement,Casablanca,236.0,2900000.0,12288.14,6.0,9.0,,,https://www.mubawab.ma/fr/a/8133994/appartement-%C3%A0-vendre-de-236-0-m%C2%B2-%C3%A0-casablanca-lissasfa
mubawab.ma:native:8135484,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,El Jadida,105.0,10650000.0,101428.57,2.0,1.0,,,https://www.mubawab.ma/fr/a/8135484/appartement-de-105-m%C2%B2-en-centre-ville
mubawab.ma:native:8138091,uncertain,price_above_p99|price_per_m2_above_reference_p99,recovery_misplaced_notebook,appartement,Marrakech,300.0,17980000.0,59933.33,2.0,2.0,,,https://www.mubawab.ma/fr/a/8138091/appartement-rez-de-jardin-avec-300m2-jardin-priv%C3%A9
mubawab.ma:native:8138511,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,El Jadida,110.0,10880000.0,98909.09,3.0,3.0,,,https://www.mubawab.ma/fr/a/8138511/appartement-centre-el-jadida-%C3%A0-5-min-de-la-plage
mubawab.ma:native:8149102,probable_error,price_per_m2_above_reference_p99|suspicious_batch_high_price_per_m2,recovery_misplaced_notebook,appartement,Marrakech,63.0,7720000.0,122539.68,3.0,2.0,,,https://www.mubawab.ma/fr/a/8149102/appartement-3-chambres-%C3%A0-vendre-%C3%A0-targa-%E2%80%93-63-m%C2%B2
mubawab.ma:native:8158802,uncertain,surface_extreme,recovery_misplaced_notebook,appartement,Bouskoura,784.0,5200000.0,6632.65,3.0,2.0,,,https://www.mubawab.ma/fr/a/8158802/vente-appartement-rez-de-jardin-784m2-%C3%A0-la-palmeraie-bouskoura-ville-verte
