listing_id,source,source_listing_id,city,neighborhood,region,latitude,longitude,surface_m2,bedrooms,bathrooms,furnished_status,parking,balcony,sea_view,price_mad,price_per_m2,property_type,transaction_type,publication_date,publication_date_status,scraped_at,url,validation_status,validation_reasons,deduplication_status,duplicate_of,title_raw,price_raw,location_raw,details_raw,source_record_path
mubawab.ma:native:8368063,mubawab.ma,8368063,Casablanca,Burger,Casablanca-Settat,,,161.0,3.0,3.0,furnished,yes,unknown,unknown,2560000.0,15900.62,appartement,sale,,unknown,Wed Sep 02 2026 07:21:12 GMT+0100 (UTC+01:00),https://www.mubawab.ma/fr/a/8368063/appartement-%C3%A0-vendre-de-161-0-m%C2%B2-%C3%A0-casablanca-burger,valid,,unique,,,,,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv
mubawab.ma:content:e9630c8e35410c4c4e691e07,mubawab.ma,,Marrakech,Arset El Maach,Marrakech-Safi,,,100.0,3.0,2.0,unknown,unknown,unknown,unknown,1800000.0,18000.0,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Bel appartement à vendre à Menara Garden. 3 belles chambres...,1 800 000 DH,"Arset El Maach, Marrakech",100 m² 4 Pièces 3 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:702b6b7d5cba79de7154b2c8,mubawab.ma,,Rabat,Aviation - Mabella,Rabat-Salé-Kenitra,,,55.0,1.0,2.0,unknown,unknown,unknown,unknown,1350000.0,24545.45,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Joli appart Salon 1 chambre,1 350 000 DH,"Aviation - Mabella, Rabat",55 m² 2 Pièces 1 Ch. 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:94c418ef45e7a84b1bbfa802,mubawab.ma,,Marrakech,Guéliz,Marrakech-Safi,,,145.0,2.0,1.0,unknown,unknown,unknown,unknown,1400000.0,9655.17,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Vente Appartement à guéliz,1 400 000 DH,"Guéliz, Marrakech",145 m² 4 Pièces 2 Chambres 1 Salle de bain,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:d7214c049c4eabfedbe02271,mubawab.ma,,Casablanca,Mers Sultan,Casablanca-Settat,,,158.0,3.0,2.0,unknown,unknown,unknown,unknown,2050000.0,12974.68,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Superbe appartement de 158m2,2 050 000 DH,"Mers Sultan, Casablanca",158 m² 5 Pièces 3 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:fc077033c4e1e562094cba42,mubawab.ma,,Casablanca,Aïn Sebaâ,Casablanca-Settat,,,102.0,2.0,2.0,unknown,unknown,unknown,unknown,1161500.0,11387.25,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Vente d'un bel appartement à Aïn Sebaâ. 2 belles chambres,1 161 500 DH,"Aïn Sebaâ, Casablanca",102 m² 4 Pièces 2 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:56e5cb2c94cd6899d1635d4b,mubawab.ma,,Tanger,De La Plage,Tangier-Tetouan-Al Hoceima,,,206.0,3.0,2.0,unknown,unknown,unknown,unknown,3600000.0,17475.73,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,"Appartement à vendre 206 m², 3 chambres Quartier de la plage...",3 600 000 DH,"De La Plage, Tanger",206 m² 3 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:ba30e1eb1e9580fbddae0d76,mubawab.ma,,Tanger,Administratif,Tangier-Tetouan-Al Hoceima,,,48.0,1.0,1.0,unknown,unknown,unknown,unknown,990000.0,20625.0,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,S. Nouveau appartements au cœur de Tanger,990 000 DH,"Administratif, Tanger",48 m² 2 Pièces 1 Ch. 1 Salle de bain,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:c20bea797984c5255f9fe5dc,mubawab.ma,,Casablanca,Les Hôpitaux,Casablanca-Settat,,,245.0,4.0,4.0,unknown,unknown,unknown,unknown,3650000.0,14897.96,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,"Appartement à Vendre de 245.0 m² à Casablanca, Hopitaux",3 650 000 DH,"Les Hôpitaux, Casablanca",245 m² 7 Pièces 4 Chambres 4 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:4a6a2c26ae0bcd56b49ef3d3,mubawab.ma,,Casablanca,Oulfa,Casablanca-Settat,,,50.0,2.0,1.0,unknown,unknown,unknown,unknown,330000.0,6600.0,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Appartement à vendre 2éme étage Azhar Oulfa Casa,330 000 DH,"Oulfa, Casablanca",50 m² 3 Pièces 2 Chambres 1 Salle de bain,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:17321e1dcaf22ef739fd3ead,mubawab.ma,,Casablanca,Bernoussi,Casablanca-Settat,,,72.0,2.0,1.0,unknown,unknown,unknown,unknown,670000.0,9305.56,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,"Apartement de 72m² en vente, Résidence El Yassamine",670 000 DH,"Bernoussi, Casablanca",72 m² 3 Pièces 2 Chambres 1 Salle de bain,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:79d3db7009b7929139d1e366,mubawab.ma,,Tanger,Tanja Balia,Tangier-Tetouan-Al Hoceima,,,103.0,2.0,2.0,unknown,unknown,unknown,unknown,1442000.0,14000.0,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Appartement à vendre avec piscine à Tanger,1 442 000 DH,"Tanja Balia, Tanger",103 m² 3 Pièces 2 Chambres 2 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:content:7da15df58c00fe430e27ba5a,mubawab.ma,,Tétouan,Wilaya,Tangier-Tetouan-Al Hoceima,,,125.0,3.0,3.0,furnished,unknown,unknown,unknown,1400000.0,11200.0,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Vend appartement à Wilaya. 3 chambres agréables. Bien meublé,1 400 000 DH,"Wilaya, Tétouan",125 m² 2 Pièces 3 Chambres 3 Salles de bains,git:HEAD:data/raw/maisonlux_maroc_complet.csv
mubawab.ma:native:8349579,mubawab.ma,8349579,Casablanca,Moulay Youssef,Casablanca-Settat,,,110.0,2.0,2.0,furnished,yes,unknown,unknown,1500000.0,13636.36,appartement,sale,,unknown,Wed Sep 02 2026 07:25:28 GMT+0100 (UTC+01:00),https://www.mubawab.ma/fr/a/8349579/appartement-110-m%C2%B2-%C3%A0-vendre-%E2%80%93-proche-h%C3%B4pital-moulay-youssef,valid,,unique,,,,,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv
mubawab.ma:native:8374260,mubawab.ma,8374260,Marrakech,Palmeraie de,Marrakech-Safi,,,125.0,2.0,2.0,unknown,yes,yes,unknown,1600000.0,12800.0,appartement,sale,,unknown,Wed Sep 02 2026 17:34:53 GMT+0100 (UTC+01:00),https://www.mubawab.ma/fr/a/8374260/vente-joli-appartement-sans-vis-%C3%A0-vis,valid,,unique,,,,,,data\external\recovery_archive\20260902T224619Z\misplaced_notebook_data\data\raw\maisondelux_raw.csv
mubawab.ma:content:6bd619f46e0b87e4a009408c,mubawab.ma,,Casablanca,Bourgogne Ouest,Casablanca-Settat,,,52.0,1.0,1.0,unknown,unknown,unknown,unknown,1180000.0,22692.31,appartement,sale,,unknown,Fri Aug 14 2026 16:31:10 GMT+0100 (UTC+01:00),,valid,,unique,,Vente d'un bel appartement à Bourgogne Ouest. 2 pièces confo...,1 180 000 DH,"Bourgogne Ouest, Casablanca",52 m² 2 Pièces 1 Ch. 1 Salle de bain,git:HEAD:data/raw/maisonlux_maroc_complet.csv
